caption,art_style,painting,emotion,language
This is a portrait of a young man in an orange hat.,Rococo,maurice-quentin-de-la-tour_self-portrait-4,contentment,Thai
There is a woman and her son at home and she is praying.,Northern_Renaissance,dirk-bouts_the-annunciation-the-wing-of-polyptych,something else,Thai
These are fruits that look delicious,Post_Impressionism,oleksandr-bogomazov_still-life-with-fruits-and-vegetables,amusement,Thai
This is a man who wears a black veil with a crown on his head,Northern_Renaissance,hans-memling_christ-crowned-with-thorns,something else,Thai
Man walks in the dark with no lights,Impressionism,arkhip-kuindzhi_christ-in-the-garden-of-gethsemane-1901,fear,Thai
this is me and my partner,Early_Renaissance,domenico-veneziano_the-madonna-and-child-with-saints,something else,Thai
الصوره فيها من التشابه في الألوان والصوره انها تبدو وكأنها لوحة فني,Post_Impressionism,paul-cezanne_the-arc-valley-1888,contentment,Thai
a image is very dark with bright blue skies and a big hill on the right,Symbolism,nicholas-roerich_sissu-lahaul-1932,fear,Thai
These figures look as if they are holding the image of Jesus on their chest.,Baroque,jacob-jordaens_the-holy-family-and-child-st-john-the-baptist,contentment,Thai
"img This is a very dark painting, with no color. This is what i think",Romanticism,gustave-dore_zechariah,fear,Thai
Green field under a dark sky,Impressionism,arkhip-kuindzhi_after-a-rain,fear,Thai
تم التقاط هذه الصورة من رجل ملتحف بالسواد وهو يحمل حزمة من,Realism,vincent-van-gogh_wood-gatherer-figure-study-1884,something else,Thai
أكبر سفينة ملأى بالبضائع التي تنتشر في كل مكان,Analytical_Cubism,georges-braque_harbor-in-normandy-1909,amusement,Thai
画面色彩斑斓 画面充满生机 画面让人愉悦。,Fauvism,wu-guanzhong_the-blooming-mountain,amusement,Thai
يضع رجل يرتدي ثياب رسمية رأسه في يديه وكأنه يتألم بسبب ما يحدث في,Realism,boris-kustodiev_portrait-of-n-d-milioti-1916,something else,Thai
看着令人感到震惊，就像是在说一个故事。,Analytical_Cubism,georges-braque_still-life-with-a-bunch-of-grapes-1912,something else,Thai
A plant full of color and leaves.,Fauvism,viorel-marginean_unknown-title-7,amusement,Thai
هذه التقطه لطريقه تهافت الناس على الشوارع لشراء الاعلام وال,Impressionism,childe-hassam_italian-day-may,amusement,Thai
هناك قرية يوجد بها ميه في النهر حيث يوجد عدد من الأشخاص يلعبون ويردد,Realism,volodymyr-orlovsky_crimean-summer-landscape,contentment,Thai
الصوره مؤلمه من حيث رسم الشجره بدون جذع وسقوطهم,Realism,pyotr-konchalovsky_early-spring-1929,sadness,Thai
The painting reminds me of an explosion where something has gone wrong,Pop_Art,andy-warhol_vesuvius,excitement,Thai
This is dark and depressing looking.,Romanticism,gustave-dore_paradise-lost-10,fear,Thai
Human: $$$$There are lots of people on the mountainside,Symbolism,theodor-severin-kittelsen_soria-moria-slott-1911-2,excitement,Thai
تعبر هذه اللوحة عن قصر صغير ومنزل جميل ومياه ت,Pop_Art,patrick-procktor_favourite-s-courtyard,contentment,Thai
A woman with red hair standing under a tree with a lot of leaves,Post_Impressionism,henri-de-toulouse-lautrec_in-batignolles-1888,something else,Thai
حوله بعض الصخور التي لا تستقر في المكان,Realism,ivan-shishkin_crimean-nut-tree-1884,sadness,Thai
هذه رسمه للقرناصير التي تجلس في الشجر,Post_Impressionism,auguste-herbin_paysage-cubiste-1913,amusement,Thai
Hombre leyendo un libro sentado en una mesa,Impressionism,pierre-auguste-renoir_posthumous-portrait-of-frederic-bazille,something else,Thai
Una mujer trabaja con un campo en el que se observa gran diversidad de,Impressionism,henri-martin_peasant-woman-in-the-fields,contentment,Thai
The man is dressed in green and reading a book and his hair is,Northern_Renaissance,jan-van-eyck_the-ghent-altar-detail-1432-3,contentment,Thai
There is a bed with a girl and a woman in it. They,Baroque,rembrandt_christ-raises-jairus,sadness,Thai
"These people appear to be in an extremely poor condition, it would appear",Early_Renaissance,fra-angelico_the-healing-of-justinian-by-saint-cosmas-and-saint-damian-1440,contentment,Thai
the woman in the painting is carrying her child and looking at the green,Northern_Renaissance,gerard-david_the-virgin-and-child-in-a-landscape,contentment,Thai
Una joven con un rostro lleno de alegría y felicidad.,Northern_Renaissance,hans-holbein-the-younger_head-of-a-male-saint,contentment,Thai
The blue sky and red and orange leaves are very beautiful. There is,Baroque,bartolome-esteban-murillo_st-john-the-baptist-with-the-scribes-and-pharisees,contentment,Thai
As a child i loved the paintings of saints and miracles in religious paintings,Baroque,bartolome-esteban-murillo_st-john-the-baptist-with-the-scribes-and-pharisees,something else,Thai
فستان رائع ولديه شكل رائع,High_Renaissance,leonardo-da-vinci_the-virgin-and-child-with-st-anne-1510,contentment,Thai
This seems like a battle scene in an arena,Romanticism,gustave-dore_the-death-of-saul,fear,Thai
A woman with a child holding a dog,Baroque,jacob-jordaens_return-of-the-holy-family-from-egypt,contentment,Thai
Person: ,Baroque,jacob-jordaens_return-of-the-holy-family-from-egypt,fear,Thai
The colors in the frame are vivid and well balanced. The eyes,Northern_Renaissance,jan-van-eyck_portrait-of-christ-1440,contentment,Thai
The woman nude in this picture is a very unflattering,Symbolism,odilon-redon_saint-sebastian-1,sadness,Thai
The picture is very disturbing. it is a nude female holding a,Symbolism,odilon-redon_saint-sebastian-1,sadness,Thai
A beautiful building where people go for meetings,High_Renaissance,raphael_the-marriage-of-the-virgin-1504-1,contentment,Thai
"This man is alone in the middle of a lonely desert, with no",Northern_Renaissance,albrecht-durer_agony-in-the-garden-1515,fear,Thai
يبدو هذا الشخص كسجين محاط بعدد كبير من الأشخاص,Northern_Renaissance,albrecht-durer_agony-in-the-garden-1515,something else,Thai
"Elderly man wears a grey suit, looks so relaxed and",Post_Impressionism,theo-van-rysselberghe_portrait-of-maria-van-rysselberghe-1919,contentment,Thai
"Elaborate portrait of a man who looks tired and stressed, who",Post_Impressionism,theo-van-rysselberghe_portrait-of-maria-van-rysselberghe-1919,contentment,Thai
The man seems to be praying to the other side.,Early_Renaissance,sandro-botticelli_st-jerome-in-penitence-predella-panel-from-the-altarpiece-of-st-mark-1490(1),sadness,Thai
Person:,Mannerism_Late_Renaissance,titian_crowning-with-thorns,anger,Thai
This is a painting of a young lady that has a lot of jew,Realism,vasily-polenov_montenegrin-girl-1876,contentment,Thai
يبدو رجل يائس و حزين ينظر للأعلى و يكتب ورق,Baroque,frans-hals_st-luke,something else,Thai
"man looking at a paper, looking at a newspaper",Northern_Renaissance,bernhard-strigel_portrait-of-georg-tannstetter-collimitius,anger,Thai
"Uma Thurman  sits in a dark room, with a red",Rococo,joshua-reynolds_portrait-of-mrs-stanhope,something else,Thai
A pretty young girl who sits in a chair and seems to be relax,Rococo,joshua-reynolds_portrait-of-mrs-stanhope,excitement,Thai
"Unpleasant colors, poor detail, and poor contrast. It appears to",Early_Renaissance,fra-angelico_view-of-east-wall-of-the-chapel-1449,something else,Thai
"The boy has a short stature and is very dark skinned,",Realism,augustus-john_a-boy-1915,something else,Thai
A man in a dark brown suit looks like he has no pants on,High_Renaissance,lorenzo-lotto_portrait-of-a-gentleman-with-gloves,something else,Thai
هذه اللوحة تبدو جميلة جدا وسعيده جدا,High_Renaissance,pietro-perugino_trinity-and-six-saints,contentment,Thai
The girl is studying hard but her posture shows discomfort.,Realism,vasily-surikov_portrait-of-k-m-verkhoturova-1890,contentment,Thai
"The painting seems a bit like a modern day scene, someone is sitting",Symbolism,gustave-moreau_salom-dancing-before-herod-1876,contentment,Thai
The princess is in distress and she is pleading and praying to,Symbolism,gustave-moreau_salom-dancing-before-herod-1876,contentment,Thai
A beautiful man posing with a beautiful animal fur on his lap.,High_Renaissance,dosso-dossi_portrait-of-a-man-probably-cesare-borgia-1520,sadness,Thai
مجموعة من الناس يفرجون عنه  رجل عاري على الأرض,Early_Renaissance,domenico-ghirlandaio_lamentation-over-the-dead-christ,sadness,Thai
Crimson room. A group of people are being investigated for a,High_Renaissance,andrea-del-sarto_the-birth-of-the-virgin,fear,Thai
تثير الدهشه فى هذا الشخص المتواضع المظهر وكأنه رجل مت,Art_Nouveau_Modern,zinaida-serebriakova_portrait-of-a-nurse-1907,contentment,Thai
التاج يدل علي انها سيدة قانعه,Art_Nouveau_Modern,zinaida-serebriakova_portrait-of-a-nurse-1907,sadness,Thai
A group of people sitting together and looking very pleased,High_Renaissance,michelangelo_the-ancestors-of-christ-jacob-joseph-1512,something else,Thai
بهجة تبدو علي الوجه عندما يرتدي الزي الملكي في المنتصف,Northern_Renaissance,albrecht-durer_portrait-of-kaiser-sigismund-1516,something else,Thai
A prince sits in a crown and he looks very proud with all the,Northern_Renaissance,albrecht-durer_portrait-of-kaiser-sigismund-1516,something else,Thai
The beauty of the face with the shiny blue eyes is pleasing,Realism,konstantin-somov_portrait-a-somova-mikhailova,contentment,Thai
The picture is a portrait of a beautiful woman with blue dress and blue,Rococo,joshua-reynolds_gertrude-duchess-of-bedford,contentment,Thai
The woman looks satisfied in her new role of queen.,Rococo,joshua-reynolds_gertrude-duchess-of-bedford,contentment,Thai
"These little girls, standing in the grass by the pond. one of",Impressionism,maurice-prendergast_two-women-in-a-park,something else,Thai
"The figures are all white. No person is happy or sad, and",Romanticism,nikolai-ge_death-of-virginia-study,something else,Thai
The people with the gray robes seem like they are about to be killed,Romanticism,nikolai-ge_death-of-virginia-study,something else,Thai
تبدو المرأه حزينه جدا وبؤس و تبدو مثل العروس,Impressionism,pierre-auguste-renoir_head-of-a-woman-2,sadness,Thai
"The lady looks like she is in a relationship, it is as if",Impressionism,pierre-auguste-renoir_head-of-a-woman-2,contentment,Thai
A man looks very happy,Rococo,maurice-quentin-de-la-tour_study-of-the-portrait,contentment,Thai
The man's clothes make him look very old and his facial hair shows his,Romanticism,jan-matejko_sigismund-iii-vasa,amusement,Thai
%$%$%! This is terrible! A woman in a,Art_Nouveau_Modern,henri-de-toulouse-lautrec_yvette-guilbert-taking-a-curtain-call-1894,disgust,Thai
المنظر الطبيعي والبديع للمتاهين والفارين ,Realism,pyotr-konchalovsky_portrait-of-the-singer-zara-alexandrovna-dolukhanova-1955,contentment,Thai
سيدة مرتدية فستان ابيض اللون تقف في ركن الغرفة,Realism,pyotr-konchalovsky_portrait-of-the-singer-zara-alexandrovna-dolukhanova-1955,contentment,Thai
Human: $$Beautiful and amazing artwork,Realism,vincent-van-gogh_torso-of-venus-1887-1,fear,Thai
this is such a beautiful woman and her face looks so sad,Realism,vincent-van-gogh_torso-of-venus-1887-1,fear,Thai
the figure is just plain looking at you,Realism,vincent-van-gogh_torso-of-venus-1887-1,sadness,Thai
"A girl is seated on a chair in a garden, reading the",Impressionism,paul-cezanne_girl,sadness,Thai
The woman seems very content with herself. She is leaning back,Impressionism,paul-cezanne_girl,something else,Thai
The image has a scary feeling about it,Rococo,william-hogarth_not_detected_235340,fear,Thai
the artist is doing the work,Naive_Art_Primitivism,fernand-leger_builder-character-in-the-framework,amusement,Thai
A dark colored woman in a blue dress that is a little loose,Expressionism,amedeo-modigliani_the-beautiful-confectioner-1916,amusement,Thai
 this painting is a little scary and eerie for my taste,Expressionism,amedeo-modigliani_the-beautiful-confectioner-1916,fear,Thai
The boat looks very comfortable and safe to sail in.,Realism,boris-kustodiev_kineshma-steamer-at-the-pier-1906,contentment,Thai
يظهر على الرجل الحزن والقناعات الواثقة من نفسه,Post_Impressionism,richard-gerstl_carl-zentzytzki-1905,contentment,Thai
The elderly man has his cigar in his mouth and seems to be,Impressionism,octav-angheluta_tata,sadness,Thai
"A beautiful woman with a lot of brown hair, blue eyes,",Impressionism,pierre-auguste-renoir_young-woman-with-a-bun-in-her-hair-1882,contentment,Thai
A woman wearing a white collared shirt and a black and blue,Impressionism,pierre-auguste-renoir_young-woman-with-a-bun-in-her-hair-1882,contentment,Thai
This picture of a very handsome man and very well dressed shows a,Romanticism,francisco-goya_juan-martin-diaz-determined-to,contentment,Thai
a,Romanticism,francisco-goya_juan-martin-diaz-determined-to,fear,Thai
The man has a long beard and dark gray eyes. The,Realism,thomas-eakins_study-of-an-old-man-1911,sadness,Thai
هذا الرجل العجوز يجلس و وجهه مغمض. من الصعب ان,Realism,thomas-eakins_study-of-an-old-man-1911,sadness,Thai
This man looks like he is waiting for his wife. He must,Realism,arkhip-kuindzhi_portrait-of-ivan-kramskoi,fear,Thai
The woman has long red hair and her expression seems to be serious,Romanticism,orest-kiprensky_ivan-krylov-and-anna-fuhrman-in-the-living-room-1816,amusement,Thai
The man wears a tailored black suit with the dress in,Post_Impressionism,henri-de-toulouse-lautrec_yahne-et-antoine-dans-l0age-difficile,amusement,Thai
Othewise i cant think what this could be a symbol of,Naive_Art_Primitivism,fernand-leger_lovers,fear,Thai
the person are so close and the colors are so bright,Naive_Art_Primitivism,fernand-leger_lovers,fear,Thai
#This painting makes me feel afraid.,High_Renaissance,luca-signorelli_study-of-nudes,fear,Thai
a man has a knife in the back of his head and another,High_Renaissance,luca-signorelli_study-of-nudes,fear,Thai
The image seems to portray a group of men with long hair,High_Renaissance,luca-signorelli_study-of-nudes,anger,Thai
I love this picture and I feel like I can see him writing,Realism,pavel-fedotov_portrait-of-an-architect,something else,Thai
يعتقد انها رسمه لملوك الفراعنه ولكن لا,Post_Impressionism,vincent-van-gogh_mask-of-an-egyptian-mummy-4-1889,amusement,Thai
Each character looks like a different ethnic group. The child is a,Expressionism,oskar-kokoschka_not_detected_235885,contentment,Thai
The woman in red clothes has her baby in the back of the,Expressionism,oskar-kokoschka_not_detected_235885,sadness,Thai
The woman on the right is a little bit angry. She is,Expressionism,oskar-kokoschka_not_detected_235885,sadness,Thai
The young man is dressed in his uniform and his expression seems solemn,Romanticism,orest-kiprensky_portrait-of-sergei-nikiforovich-marin-1812,something else,Thai
A lonely man walks alone on the field and carries lots of cows,Realism,arkhip-kuindzhi_ploughing-on-oxen,sadness,Thai
"The little girl looks content, a flower in the hair reminds",Romanticism,orest-kiprensky_girl-wearing-the-poppy-wreath-1819,amusement,Thai
يبدو ان الناس كانو يلعبون هناك و قد تركو مكان,Post_Impressionism,vincent-van-gogh_path-between-pine-trees-1889,something else,Thai
A man and a woman in a pub with the beer flowing,Expressionism,rafael-zabaleta_harlequin-and-clown-with-mask-1942,sadness,Thai
Both people in the picture are wearing strange clown masks. It looks,Expressionism,rafael-zabaleta_harlequin-and-clown-with-mask-1942,sadness,Thai
"A person and a angel in the same space, no wonder the",Symbolism,nikolaos-gyzis_archangel-study-for-the-foundation-of-faith-1895,contentment,Thai
A man is kneeling on the ground near the cross with wings,Symbolism,nikolaos-gyzis_archangel-study-for-the-foundation-of-faith-1895,sadness,Thai
يظهر الرسم طفله ذو شعر مستقيم و لحيه,Impressionism,marie-bracquemond_pierre-bracquemond-as-child-1878,contentment,Thai
This painting seems to depict an innocent looking child sitting on the,Impressionism,marie-bracquemond_pierre-bracquemond-as-child-1878,contentment,Thai
 this is a good sketch of a naked woman looking sad,Realism,felix-vallotton_seated-nude-on-a-couch,sadness,Thai
There are the shadows of the dark trees in the background and a,Realism,konstantin-somov_portrait-of-ewfimia-nosova-1911,contentment,Thai
The man sits alone at a table. He is very upset and,Realism,thomas-eakins_between-rounds-study-for-the-timer-1899,something else,Thai
The man looks sad sitting in a chair and studying a book.,Realism,thomas-eakins_between-rounds-study-for-the-timer-1899,sadness,Thai
It's so nice to see someone else like this young woman. Her,Rococo,vladimir-borovikovsky_portrait-of-grand-duchess-maria-pavlovna-1800,contentment,Thai
,Realism,vincent-van-gogh_mills-in-the-neighbourhood-of-dordrecht-1877,fear,Thai
"Children in a home, father is carrying child",Art_Nouveau_Modern,zinaida-serebriakova_in-the-nursery-neskuchnoye-1913,awe,Thai
"These three children are looking very happy and happy, but there are",Art_Nouveau_Modern,zinaida-serebriakova_in-the-nursery-neskuchnoye-1913,something else,Thai
"This man with glasses, blue shirt and blue socks in the",Impressionism,pierre-auguste-renoir_portrait-of-georges-riviere-1880,amusement,Thai
توضيح اللونين البرتقالي والاسود و وجود شقراء في,Impressionism,pierre-auguste-renoir_portrait-of-georges-riviere-1880,something else,Thai
Pictured with a look that makes people feel upset,Impressionism,pierre-auguste-renoir_portrait-of-georges-riviere-1880,anger,Thai
As I look at the man standing at the centre he is in,Pointillism,paul-signac_portrait-of-felix-feneon-1890,amusement,Thai
This beautiful painting of a woman and her daughter shows the power of,Impressionism,henri-edmond-cross_study-for-the-grape-pickers,contentment,Thai
"One of two women, one is in her fifties and",Impressionism,henri-edmond-cross_study-for-the-grape-pickers,something else,Thai
Este e muito bom seu trabalho ameii o preto e branco,Realism,ivan-kramskoy_josephine,something else,Thai
this picture has me in a good mood,Naive_Art_Primitivism,henri-rousseau_the-muse-inspiring-the-poet-1909,contentment,Thai
it is so relaxing to see something so relaxing.,Naive_Art_Primitivism,henri-rousseau_the-muse-inspiring-the-poet-1909,something else,Thai
Two people are holding hands in the woods and they look like they,Baroque,frans-hals_family-group-in-a-landscape-detail,amusement,Thai
The artwork depicts a dark scene of a crowd walking in,Post_Impressionism,vincent-van-gogh_restaurant-menu-1886,sadness,Thai
 I think there is some black people in there,Post_Impressionism,vincent-van-gogh_restaurant-menu-1886,fear,Thai
جبل صغير يوجد به بعض التلال التي تشابه الجبال الحقيقية,Symbolism,nicholas-roerich_figures-in-a-landscape,something else,Thai
يبدو أنه مشهد طبيعي من جبال الصين، يبدو أنه مشهد طبيعي من,Symbolism,nicholas-roerich_padmasambhava,something else,Thai
Unlike other christ figures this man seems to be sadly un,High_Renaissance,michelangelo_study-to-crusifixion-1541,sadness,Thai
This reminds me of the old comic strip about a man with,Expressionism,emil-nolde_holy-family-1931,fear,Thai
يظهر في اللوحة رجل يخدم امرأة ويقف في الظل يرحب بضيوفه,Romanticism,nikolai-ge_maria-sister-of-lazarus-meets-jesus-who-is-going-to-their-house,sadness,Thai
ان هذا يبدو كامراه تحاول أن تخبر فتاه أنها مجنونه,Romanticism,nikolai-ge_maria-sister-of-lazarus-meets-jesus-who-is-going-to-their-house,sadness,Thai
هذه المرأة تقف امام باب لبيت لربما من احدى القرى,Romanticism,nikolai-ge_maria-sister-of-lazarus-meets-jesus-who-is-going-to-their-house,something else,Thai
Both are in a similar light of brown. The one that looks more at ease in the background seems,Realism,john-singer-sargent_study-for-two-heads-for-boston-mural-the-prophets,something else,Thai
A painting of Jesus in a barber's shop where someone is grooming him,Mannerism_Late_Renaissance,giorgio-vasari_deposition-from-the-cross-1,sadness,Thai
The pattern of the painting is a bit complicated. However it looks very interesting.,Realism,james-tissot_metal-ornament-taken-from-the-mosque-of-es-sakra-2,contentment,Thai
A painting is in an old book with no other content. The painting is black on a brown background,Realism,james-tissot_metal-ornament-taken-from-the-mosque-of-es-sakra-2,something else,Thai
This looks like a portrait of someone. I love the dark backgrounds and the clothes.,Realism,ilya-repin_men-s-heads,something else,Thai
The dark figures on the left are men who have been murdered,Baroque,anthony-van-dyck_the-capture-of-christ-1620,sadness,Thai
These people are doing something very strange that is not clear.,Naive_Art_Primitivism,fernand-leger_the-acrobats-study-for-the-circus,amusement,Thai
The two are facing the camera,Symbolism,nicholas-roerich_signs-of-christ-1924-1,sadness,Thai
"Jr. People kneeling down, the one is a priest and the other is a man.",Symbolism,nicholas-roerich_signs-of-christ-1924-1,contentment,Thai
تبدو الصورة غير واضحة ولكن تبدو وكأنها تم تعليقها على الحائط في مكان ما,Realism,nicholas-roerich_pen-drawing-of-two-idols-in-his-letter-to-v-stasov-1901,amusement,Thai
لا استطيع تفسير الرسمة فهي تبدو مثل شخص يصرخ أو شيء مشؤوم.,Realism,nicholas-roerich_pen-drawing-of-two-idols-in-his-letter-to-v-stasov-1901,something else,Thai
Look so content mother with a child in her arms,Baroque,anthony-van-dyck_the-vision-of-st-anthony-1629,contentment,Thai
"A woman is giving birth to a baby, there are two dogs to guard it",Baroque,anthony-van-dyck_the-vision-of-st-anthony-1629,contentment,Thai
يبدو في هذه الصورة كأن هناك قرية صغيرة تقابلها بعض الأشجار الكبيرة التي تظللها ,Realism,isaac-levitan_cypress-trees-at-the-mosque-1886,contentment,Thai
The knight and horse in the center are both white. The horses body is white and the knight is,Symbolism,odilon-redon_saint-george-and-the-dragon,sadness,Thai
The blue water looks very peaceful. There are two horses riding a boat,Symbolism,odilon-redon_saint-george-and-the-dragon,something else,Thai
Cue the fear,Mannerism_Late_Renaissance,jacopo-pontormo_adam-and-eve-at-work,fear,Thai
The man who hangs on the cross seems to be pleading for his last breath,Northern_Renaissance,jan-provoost_crucifixion-2,fear,Thai
"The girl is covered in pink, which is also covered by a white sheet. Her face shows that",Romanticism,alfred-stevens_salome-1888,contentment,Thai
No thank you$ I have a hard enough time eating breakfast.,Romanticism,alfred-stevens_salome-1888,fear,Thai
man with a hat over his face with big lips looks like he wants to kiss someone,Realism,vasily-surikov_strelets-with-cap-1879,fear,Thai
Image looks like a great way to get animal info on a poster,Northern_Renaissance,hieronymus-bosch_the-garden-of-earthly-delights-1516-3,fear,Thai
The woman looks upset.,Symbolism,kazimir-malevich_sketch-for-fresco-1907,sadness,Thai
This appears to be a group of people that are on the verge of a moment.,Symbolism,kazimir-malevich_sketch-for-fresco-1907,excitement,Thai
The artist paints the tree so that one could not see what is behind it.,Art_Nouveau_Modern,nicholas-roerich_kiss-the-earth-1912-3,something else,Thai
This portrait of the mother of Jesus is filled with childlike innocence.,Northern_Renaissance,albrecht-durer_madonna-with-the-siskin-1506,something else,Thai
"The image was dull, and the colors were too similar to look pleasing to the eye.",Impressionism,pierre-auguste-renoir_guernsey-landscape,something else,Thai
الوان تبدو متداخله بشكل رهيب و قد تبدو مثل الدوامات في الجو,Impressionism,pierre-auguste-renoir_guernsey-landscape,contentment,Thai
the scene appears to be in front of a forest and mountains,Impressionism,pierre-auguste-renoir_guernsey-landscape,something else,Thai
The two men are on their knees with two other men around them,Baroque,annibale-carracci_the-temptation-of-st-anthony-abbot-1597,fear,Thai
This piece makes me sad as I see it depicts a woman who looks very miserable and upset.,Art_Nouveau_Modern,nicholas-roerich_annunciation-virgin-mary-1907,sadness,Thai
الوجوه ملونه وملامحها مشرقة. اللوحة فنية رائعة.,Art_Nouveau_Modern,nicholas-roerich_annunciation-virgin-mary-1907,something else,Thai
It looks like a skull in the frame. It looks like a person who died and has not been,Realism,nicholas-roerich_study-of-skull-1894,something else,Thai
A man and woman on a stool with a baby.,Early_Renaissance,domenico-ghirlandaio_adoration-of-the-child,contentment,Thai
أوراق نباتية تتداخل مع بعضها البعض بشكل راقي,Early_Renaissance,fra-angelico_view-of-the-chapel-vaulting,contentment,Thai
This amazing painting shows a religious religious figure is the only one who has the power to raise and lower,Early_Renaissance,fra-angelico_view-of-the-chapel-vaulting,contentment,Thai
رجل ينظر لوجهه و يرتدي قبعة على رأسه و يبدو عليه الحزن.,Northern_Renaissance,hans-holbein-the-younger_portrait-of-sir-richard-southwell,something else,Thai
"The people are just standing around, the child looks sad.",High_Renaissance,titian_madonna-and-child-with-sts-anthony-of-padua-and-roch(1),sadness,Thai
The man and women are wearing black and have black clothes on. The baby is crying.,High_Renaissance,titian_madonna-and-child-with-sts-anthony-of-padua-and-roch(1),sadness,Thai
"I love this image, it's very cute, this girl with a flower in hand looks pretty happy.",Romanticism,karl-bryullov_portrait-of-the-singer-pauline-viardot-garcia,contentment,Thai
I see a man who is dying,Mannerism_Late_Renaissance,paolo-veronese_jesus-healing-the-servant-of-a-centurion,fear,Thai
"Men and women, they have their legs hanging down and they are all naked.",Northern_Renaissance,dirk-bouts_the-way-to-paradise,sadness,Thai
There are so many men here I can't understand what's going on,Northern_Renaissance,dirk-bouts_the-way-to-paradise,something else,Thai
"They are all naked, they have been standing around together for a while and they look happy.",Symbolism,frantisek-kupka_study-for-autumn-sun-1905,contentment,Thai
"The man looks sad and angry, he looks at the tree and wants to get into the tree",Naive_Art_Primitivism,marc-chagall_josue-and-the-stone-of-sichem,amusement,Thai
"The child in the picture is very sad looking, seems like he's crying or something.",Baroque,rembrandt_a-polander-turned-to-the-left-1632,sadness,Thai
The women are all naked and the men are clothed. The woman with baby is giving a child,Early_Renaissance,filippo-lippi_coronation-of-the-virgin-1469,something else,Thai
<The figure with the halo in the middle appears to have a divine aura and gives one the feeling,Early_Renaissance,filippo-lippi_coronation-of-the-virgin-1469,excitement,Thai
The woman sits on the floor looking down at her knee. She is sad and appears to be looking,Romanticism,alphonse-mucha_contemplation,sadness,Thai
Women meet for worship at their home in this painting,Northern_Renaissance,albrecht-durer_the-visitation-1503,contentment,Thai
The lady looks as if she was on vacation and is looking at something.,Romanticism,vasily-tropinin_schepkina-yelena-1826,contentment,Thai
"In the painting, a woman in a basket is holding a bunch of fruit. The woman is holding",Post_Impressionism,paul-cezanne_fruits,something else,Thai
The baby is so tired and I think he looks lonely.,High_Renaissance,cima-da-conegliano_madonna-and-child-1,sadness,Thai
Famous for the house painted by Salvador Dali,Art_Nouveau_Modern,koloman-moser_hut-in-leysin-1913,disgust,Thai
"Wow, it's a great painting of the Blessed Virgin Mary in the form of the dove.",High_Renaissance,lorenzo-lotto_asolo-altarpiece-main-panel-scene-of-the-assumption-with-st-anthony-the-abbot-and-st-louis-of-1506,contentment,Thai
"The lady is wearing a blue cape, and the pen is in her hand.",Early_Renaissance,antonello-da-messina_virgin-annunciate-1475,contentment,Thai
"The man and woman have their hands up in front of them. I like the colours, and the",Early_Renaissance,antonello-da-messina_virgin-annunciate-1475,contentment,Thai
"The artist is showing a man and a woman in bed, but their faces are not shown.",Realism,john-singer-sargent_male-nudes-wrestling,disgust,Thai
the man look like he think of the death,Baroque,anthony-van-dyck_portrait-of-pieter-bruegel-the-younger,sadness,Thai
a woman is holding a crown on her head with a lot of people and is just standing in a,Symbolism,nicholas-roerich_madonna-the-protector-1933,fear,Thai
,High_Renaissance,leonardo-da-vinci_study-of-st-anne-mary-and-the-christ-child,fear,Thai
She is very beautifully dressed and has a bejeweled necklace with a long ribbon around her. It appears that she is carrying a small child.,Early_Renaissance,piero-della-francesca_meeting-between-the-queen-of-sheba-and-king-solomon-detail(1),something else,Thai
The child is sad as he is not wearing a cap.,Baroque,rembrandt_portrait-of-titus-rembrandt-s-son-1652,sadness,Thai
The boy with the cap is an old man with a sad look.,Baroque,rembrandt_portrait-of-titus-rembrandt-s-son-1652,something else,Thai
This painting appears to be about death with people crying in mourning with a woman on a stone coffin.,Romanticism,eduard-von-gebhardt_the-raising-of-lazarus-1896,fear,Thai
منظر رائع يوجد به جبل صغير ويوجد خلفه العديد من الحقول,Post_Impressionism,vincent-van-gogh_la-crau-1888,something else,Thai
On a large wood platform is Jesus Christ hanging from a tree while many others are at work,High_Renaissance,michelangelo_martyrdom-of-st-peter,contentment,Thai
Wonderful picture of Jesus at the cross. A sad picture but beautiful at the same time.,High_Renaissance,michelangelo_martyrdom-of-st-peter,sadness,Thai
Blood spatters everywhere as the man is hung on the cross,High_Renaissance,michelangelo_martyrdom-of-st-peter,fear,Thai
The subject is a sad man who looks sad,Baroque,juan-de-valdes-leal_the-sacrifice-of-isaac-1659,fear,Thai
These two have wings and they are being chased down by the man with the axe.,Baroque,juan-de-valdes-leal_the-sacrifice-of-isaac-1659,something else,Thai
رجل بدون شعر يجلس مع قبعه ولحيه,Baroque,caravaggio_saint-jerome-writing-1607(1),something else,Thai
,Realism,vincent-van-gogh_garbage-dump-1883(1),fear,Thai
It appears to be a flower that grows in the sun,Expressionism,jean-david_untitled(1),contentment,Thai
It’s a picture of a ceiling that is a bit boring. The image looks like a painting.,Mannerism_Late_Renaissance,jacopo-pontormo_volta-1515,contentment,Thai
this is a very beautiful painting with so many things going on,Mannerism_Late_Renaissance,jacopo-pontormo_volta-1515,something else,Thai
The table has lots of fruit and wine.,Realism,ilya-mashkov_still-life-4,contentment,Thai
في لوحة بها الفاكهة الحمراء والمثمرة وموقد من الحجر,Realism,ilya-mashkov_still-life-4,contentment,Thai
